0x673a: X: 4716, Y: 664, Z: 2748
0x673a: X: 4692, Y: 661, Z: 2744
0x673a: X: 4687, Y: 646, Z: 2721
0x673a: X: 4706, Y: 649, Z: 2725
0x673a: X: 4710, Y: 668, Z: 2708
0x673a: X: 4701, Y: 677, Z: 2768
0x673a: X: 4742, Y: 672, Z: 2682
0x673a: X: 4712, Y: 685, Z: 2689
0x673a: X: 4712, Y: 667, Z: 2751
0x673a: X: 4734, Y: 669, Z: 2713
0x673a: X: 4195, Y: 1297, Z: -380
0x673a: X: 4712, Y: 667, Z: 2751
0x673a: X: 4150, Y: 1234, Z: -341
0x673a: X: 4698, Y: 698, Z: 2704
0x673a: X: 4088, Y: 1336, Z: -512
0x673a: X: 4685, Y: 691, Z: 2734
0x673a: X: 4255, Y: 1286, Z: -367
0x673a: X: 4707, Y: 665, Z: 2703
0x673a: X: 4136, Y: 1368, Z: -496
0x673a: X: 4734, Y: 669, Z: 2713
0x673a: X: 4740, Y: 702, Z: 2710
0x673a: X: 4753, Y: 671, Z: 2714
0x673a: X: 4691, Y: 666, Z: 2700
0x673a: X: 4242, Y: 1298, Z: -308
0x673a: X: 4725, Y: 637, Z: 2761
0x673a: X: 4709, Y: 682, Z: 2687
0x673a: X: 4709, Y: 682, Z: 2687
0x673a: X: 4716, Y: 701, Z: 2707
0x673a: X: 4707, Y: 652, Z: 2731
0x673a: X: 4691, Y: 666, Z: 2700
0x673a: X: 4691, Y: 666, Z: 2700
0x673a: X: 4727, Y: 669, Z: 2715
0x673a: X: 4691, Y: 647, Z: 2773
0x673a: X: 4706, Y: 649, Z: 2725
0x673a: X: 4727, Y: 669, Z: 2715
0x673a: X: 4698, Y: 698, Z: 2704
0x673a: X: 4698, Y: 698, Z: 2704
0x673a: X: 4741, Y: 693, Z: 2697
0x673a: X: 4757, Y: 679, Z: 2728
0x673a: X: 4745, Y: 649, Z: 2732
0x673a: X: 4681, Y: 684, Z: 2720
0x673a: X: 4742, Y: 691, Z: 2744
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4755, Y: 661, Z: 2746
0x673a: X: 4742, Y: 691, Z: 2744
0x673a: X: 4736, Y: 658, Z: 2749
0x673a: X: 4705, Y: 683, Z: 2774
0x673a: X: 4712, Y: 658, Z: 2740
0x673a: X: 4712, Y: 673, Z: 2716
0x673a: X: 4712, Y: 673, Z: 2716
0x673a: X: 4727, Y: 704, Z: 2713
0x673a: X: 4742, Y: 691, Z: 2744
0x673a: X: 4727, Y: 704, Z: 2713
0x673a: X: 4732, Y: 699, Z: 2815
0x673a: X: 4720, Y: 671, Z: 2764
0x673a: X: 4742, Y: 691, Z: 2744
